Home,Away,Game_ID,H_Score,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_Score,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,Result,Date,Season
Golden State Warriors,Cleveland Cavaliers,21801191,120,0.6920000000000001,0.489,0.38299999999999995,0.8,45.2,28.7,14.0,7.5,6.3,6.3,114.9,108.5,0.595,114,0.24100000000000002,0.444,0.35700000000000004,0.792,43.6,21.2,13.8,6.6,2.5,-9.5,106.9,116.6,0.541,1,2019-04-05,2018-19
Phoenix Suns,New Orleans Pelicans,21801189,133,0.228,0.45899999999999996,0.32799999999999996,0.78,39.6,23.4,15.5,8.7,5.0,-9.0,105.1,113.8,0.552,126,0.405,0.473,0.34299999999999997,0.762,45.3,25.9,14.3,7.2,5.2,-1.2,110.5,111.8,0.563,1,2019-04-05,2018-19
LA Clippers,Los Angeles Lakers,21801192,117,0.595,0.47100000000000003,0.386,0.7929999999999999,44.2,23.1,14.1,6.6,4.5,1.2,111.5,110.1,0.575,122,0.44299999999999995,0.47,0.332,0.6990000000000001,44.5,24.4,15.0,7.3,5.1,-1.8,107.3,109.0,0.555,0,2019-04-05,2018-19
Orlando Magic,Atlanta Hawks,21801181,149,0.494,0.451,0.354,0.779,45.8,25.6,13.3,6.6,5.5,0.1,107.5,107.5,0.546,113,0.36700000000000005,0.452,0.35200000000000004,0.755,43.7,24.6,16.3,7.8,4.9,-5.4,107.5,112.7,0.557,1,2019-04-05,2018-19
Houston Rockets,New York Knicks,21801184,120,0.6459999999999999,0.449,0.354,0.7909999999999999,42.3,21.3,13.7,8.6,5.0,4.2,114.6,110.3,0.58,96,0.192,0.43200000000000005,0.33899999999999997,0.763,44.3,19.9,14.0,6.9,5.0,-9.1,104.2,113.1,0.529,1,2019-04-05,2018-19
Utah Jazz,Sacramento Kings,21801188,119,0.615,0.467,0.355,0.735,45.8,25.6,15.0,8.0,5.8,5.2,110.0,105.0,0.5710000000000001,98,0.494,0.46399999999999997,0.37799999999999995,0.726,43.7,24.5,12.9,8.0,4.3,-0.8,109.4,110.3,0.5529999999999999,1,2019-04-05,2018-19
Indiana Pacers,Boston Celtics,21801183,97,0.595,0.47600000000000003,0.373,0.752,43.7,26.4,14.0,8.9,5.0,3.9,109.4,105.5,0.562,117,0.595,0.46399999999999997,0.366,0.8059999999999999,44.1,26.0,12.8,8.5,5.3,4.3,111.3,107.1,0.5670000000000001,0,2019-04-05,2018-19
Dallas Mavericks,Memphis Grizzlies,21801187,112,0.397,0.447,0.341,0.742,45.1,23.1,14.4,6.6,4.3,-1.2,108.6,110.0,0.556,122,0.397,0.449,0.337,0.769,42.3,24.3,14.3,8.6,5.7,-3.0,105.0,107.7,0.545,0,2019-04-05,2018-19
Denver Nuggets,Portland Trail Blazers,21801190,119,0.667,0.466,0.35100000000000003,0.758,47.2,27.9,13.8,7.8,4.5,4.3,112.2,107.9,0.5579999999999999,110,0.6409999999999999,0.466,0.358,0.8140000000000001,47.6,22.9,13.7,6.6,5.0,4.3,113.5,109.2,0.568,1,2019-04-05,2018-19
Minnesota Timberwolves,Miami Heat,21801185,111,0.449,0.455,0.35,0.7859999999999999,44.4,24.1,12.8,8.2,5.0,-1.2,110.7,112.1,0.551,109,0.48700000000000004,0.45,0.35100000000000003,0.6940000000000001,46.9,24.5,14.9,7.8,5.5,-0.2,106.9,107.2,0.542,1,2019-04-05,2018-19
Charlotte Hornets,Toronto Raptors,21801180,113,0.462,0.445,0.35,0.7959999999999999,43.9,23.0,12.4,7.3,5.0,-1.6,110.1,111.9,0.551,111,0.7090000000000001,0.473,0.365,0.804,44.4,25.0,13.8,8.2,5.3,5.9,112.5,106.9,0.578,1,2019-04-05,2018-19
Washington Wizards,San Antonio Spurs,21801182,112,0.405,0.469,0.342,0.767,40.7,25.4,13.7,8.1,4.5,-2.6,110.2,112.6,0.568,129,0.57,0.47700000000000004,0.39299999999999996,0.8190000000000001,44.8,24.5,12.1,6.1,4.8,1.1,111.9,110.9,0.5710000000000001,0,2019-04-05,2018-19
Oklahoma City Thunder,Detroit Pistons,21801186,123,0.5770000000000001,0.45299999999999996,0.344,0.711,45.8,22.1,13.4,9.1,5.1,3.0,109.3,106.1,0.5429999999999999,110,0.5,0.441,0.349,0.7440000000000001,45.4,22.9,14.1,7.0,4.0,-0.3,108.3,108.7,0.544,1,2019-04-05,2018-19
Chicago Bulls,Philadelphia 76ers,21801194,96,0.278,0.45399999999999996,0.35100000000000003,0.787,42.7,21.9,14.3,7.4,4.3,-8.1,104.7,112.7,0.5429999999999999,116,0.62,0.47,0.36,0.774,46.1,26.1,14.6,7.2,5.1,2.5,111.4,108.9,0.575,0,2019-04-06,2018-19
Milwaukee Bucks,Brooklyn Nets,21801193,128,0.747,0.47600000000000003,0.353,0.775,47.7,25.1,13.3,7.2,5.7,9.0,113.6,104.6,0.583,133,0.494,0.449,0.35200000000000004,0.7440000000000001,44.9,23.0,14.7,6.4,4.1,-0.5,108.7,109.2,0.556,0,2019-04-06,2018-19
Golden State Warriors,LA Clippers,21801205,131,0.696,0.49,0.385,0.8009999999999999,45.1,28.7,14.0,7.4,6.3,6.3,115.0,108.5,0.596,104,0.588,0.47100000000000003,0.386,0.794,44.1,23.2,14.1,6.6,4.6,1.1,111.5,110.2,0.575,1,2019-04-07,2018-19
Los Angeles Lakers,Utah Jazz,21801208,113,0.45,0.47,0.33399999999999996,0.7,44.6,24.5,15.0,7.3,5.1,-1.7,107.4,109.0,0.555,109,0.62,0.46799999999999997,0.35600000000000004,0.7340000000000001,45.8,25.7,15.0,8.0,5.8,5.4,110.1,104.9,0.5720000000000001,1,2019-04-07,2018-19
New York Knicks,Washington Wizards,21801204,113,0.19,0.433,0.33799999999999997,0.76,44.4,19.9,14.0,6.9,5.0,-9.3,104.1,113.1,0.529,110,0.4,0.469,0.341,0.768,40.6,25.4,13.6,8.1,4.5,-2.8,110.2,112.9,0.568,1,2019-04-07,2018-19
Boston Celtics,Orlando Magic,21801203,108,0.6,0.465,0.365,0.807,44.1,26.0,12.8,8.5,5.3,4.5,111.4,107.0,0.568,116,0.5,0.45299999999999996,0.35600000000000004,0.779,45.9,25.7,13.4,6.7,5.5,0.5,107.9,107.4,0.5489999999999999,0,2019-04-07,2018-19
Cleveland Cavaliers,San Antonio Spurs,21801196,90,0.23800000000000002,0.444,0.35600000000000004,0.7929999999999999,43.7,21.2,13.7,6.6,2.5,-9.4,107.0,116.6,0.541,112,0.575,0.478,0.39299999999999996,0.8190000000000001,44.7,24.7,12.1,6.1,4.8,1.3,112.2,111.0,0.5720000000000001,0,2019-04-07,2018-19
Houston Rockets,Phoenix Suns,21801200,149,0.65,0.44799999999999995,0.354,0.79,42.3,21.3,13.5,8.6,5.0,4.5,114.5,110.1,0.579,113,0.23800000000000002,0.45899999999999996,0.32899999999999996,0.78,39.6,23.4,15.3,8.8,5.0,-8.8,105.3,113.9,0.552,1,2019-04-07,2018-19
Detroit Pistons,Charlotte Hornets,21801198,91,0.494,0.441,0.349,0.745,45.2,22.8,14.1,7.0,4.1,-0.5,108.3,108.9,0.545,104,0.46799999999999997,0.446,0.35,0.7959999999999999,43.9,23.0,12.3,7.3,4.9,-1.5,110.2,112.0,0.552,0,2019-04-07,2018-19
Portland Trail Blazers,Denver Nuggets,21801206,115,0.633,0.467,0.358,0.8140000000000001,47.5,22.9,13.7,6.6,5.0,4.1,113.5,109.4,0.568,108,0.6709999999999999,0.466,0.35,0.76,47.2,27.9,13.7,7.8,4.5,4.3,112.3,108.0,0.5589999999999999,1,2019-04-07,2018-19
Milwaukee Bucks,Atlanta Hawks,21801202,115,0.738,0.47700000000000004,0.355,0.773,47.7,25.1,13.3,7.2,5.7,8.8,113.7,104.9,0.584,107,0.363,0.452,0.35,0.753,43.6,24.5,16.2,7.9,4.9,-5.8,107.5,113.0,0.556,1,2019-04-07,2018-19
Indiana Pacers,Brooklyn Nets,21801199,96,0.588,0.475,0.374,0.75,43.7,26.3,14.0,8.8,5.0,3.6,109.3,105.7,0.561,108,0.5,0.45,0.354,0.7440000000000001,44.9,23.1,14.6,6.4,4.0,-0.4,108.9,109.4,0.557,0,2019-04-07,2018-19
Sacramento Kings,New Orleans Pelicans,21801207,129,0.488,0.46299999999999997,0.376,0.725,43.7,24.4,12.9,8.0,4.3,-1.0,109.2,110.3,0.552,133,0.4,0.473,0.34299999999999997,0.7609999999999999,45.3,25.9,14.3,7.2,5.1,-1.2,110.6,111.9,0.563,0,2019-04-07,2018-19
Minnesota Timberwolves,Oklahoma City Thunder,21801197,126,0.456,0.456,0.35,0.787,44.3,24.1,12.9,8.2,4.9,-1.2,110.7,112.0,0.551,132,0.5820000000000001,0.45299999999999996,0.345,0.711,46.0,22.2,13.4,9.1,5.0,3.2,109.4,106.1,0.5429999999999999,0,2019-04-07,2018-19
Toronto Raptors,Miami Heat,21801195,117,0.7,0.473,0.365,0.804,44.4,25.0,13.8,8.2,5.3,5.8,112.6,107.0,0.579,109,0.48100000000000004,0.451,0.35,0.6940000000000001,46.7,24.5,14.9,7.8,5.5,-0.2,106.9,107.3,0.542,1,2019-04-07,2018-19
Memphis Grizzlies,Dallas Mavericks,21801201,127,0.405,0.449,0.33799999999999997,0.77,42.4,24.4,14.3,8.6,5.7,-2.8,105.2,107.8,0.546,129,0.392,0.447,0.341,0.74,45.0,23.2,14.3,6.6,4.3,-1.4,108.6,110.2,0.556,0,2019-04-07,2018-19
Los Angeles Lakers,Portland Trail Blazers,21801219,101,0.457,0.47100000000000003,0.33299999999999996,0.7,44.7,24.5,15.0,7.3,5.1,-1.6,107.5,109.0,0.555,104,0.638,0.466,0.35700000000000004,0.8140000000000001,47.7,22.9,13.7,6.6,5.0,4.2,113.5,109.4,0.568,0,2019-04-09,2018-19
Chicago Bulls,New York Knicks,21801213,86,0.275,0.45399999999999996,0.35100000000000003,0.787,42.6,21.9,14.2,7.4,4.3,-8.3,104.6,112.8,0.542,96,0.2,0.434,0.34,0.76,44.4,19.9,14.0,6.8,5.1,-9.2,104.2,113.1,0.53,0,2019-04-09,2018-19
Cleveland Cavaliers,Charlotte Hornets,21801209,97,0.235,0.444,0.355,0.792,43.6,21.1,13.8,6.7,2.4,-9.6,106.8,116.6,0.54,124,0.475,0.446,0.349,0.7959999999999999,43.9,23.1,12.3,7.2,4.9,-1.4,110.3,111.9,0.551,0,2019-04-09,2018-19
Miami Heat,Philadelphia 76ers,21801212,122,0.475,0.45,0.35,0.6940000000000001,46.8,24.5,14.9,7.7,5.5,-0.3,106.9,107.3,0.542,99,0.625,0.47100000000000003,0.36,0.772,46.3,26.1,14.5,7.1,5.1,2.8,111.5,108.8,0.575,1,2019-04-09,2018-19
Detroit Pistons,Memphis Grizzlies,21801210,100,0.488,0.44,0.348,0.746,45.4,22.8,14.1,7.0,4.1,-0.7,108.2,109.0,0.544,93,0.4,0.449,0.33899999999999997,0.7709999999999999,42.5,24.5,14.2,8.6,5.6,-2.8,105.4,107.9,0.546,1,2019-04-09,2018-19
Utah Jazz,Denver Nuggets,21801217,118,0.613,0.46799999999999997,0.355,0.733,45.7,25.7,14.9,8.0,5.8,5.3,110.1,105.0,0.5720000000000001,108,0.6629999999999999,0.466,0.35100000000000003,0.758,47.1,27.8,13.7,7.8,4.5,4.2,112.2,108.0,0.5579999999999999,1,2019-04-09,2018-19
Dallas Mavericks,Phoenix Suns,21801216,120,0.4,0.447,0.34,0.741,45.1,23.3,14.2,6.5,4.3,-1.3,108.7,110.2,0.556,109,0.235,0.45899999999999996,0.32899999999999996,0.78,39.6,23.4,15.3,8.7,5.0,-9.1,105.3,114.2,0.552,1,2019-04-09,2018-19
Minnesota Timberwolves,Toronto Raptors,21801214,100,0.45,0.457,0.35100000000000003,0.787,44.2,24.2,12.9,8.2,4.9,-1.2,110.9,112.2,0.5529999999999999,120,0.7040000000000001,0.473,0.365,0.805,44.4,25.0,13.8,8.1,5.2,5.8,112.6,107.0,0.579,0,2019-04-09,2018-19
Washington Wizards,Boston Celtics,21801211,110,0.395,0.46799999999999997,0.34,0.768,40.7,25.4,13.6,8.1,4.5,-2.8,110.2,112.9,0.5670000000000001,116,0.593,0.465,0.365,0.807,44.1,26.0,12.8,8.5,5.3,4.4,111.3,107.0,0.568,0,2019-04-09,2018-19
Oklahoma City Thunder,Houston Rockets,21801218,112,0.588,0.45399999999999996,0.34600000000000003,0.713,45.9,22.3,13.4,9.0,5.0,3.2,109.7,106.4,0.545,111,0.654,0.449,0.35600000000000004,0.79,42.4,21.4,13.5,8.6,5.0,4.9,114.9,110.0,0.581,1,2019-04-09,2018-19
New Orleans Pelicans,Golden State Warriors,21801215,103,0.40700000000000003,0.474,0.345,0.762,45.4,25.9,14.3,7.1,5.2,-1.2,110.8,112.0,0.564,112,0.7,0.491,0.384,0.802,45.1,28.8,13.9,7.5,6.3,6.5,115.1,108.4,0.596,0,2019-04-09,2018-19
Los Angeles Lakers,Utah Jazz,21900025,95,0.0,0.435,0.39399999999999996,0.7140000000000001,42.3,20.6,15.5,4.1,7.2,-10.3,105.2,115.5,0.541,86,1.0,0.444,0.25,0.7,48.5,14.9,10.9,4.0,5.0,5.0,99.0,94.1,0.506,1,2019-10-25,2019-20
Brooklyn Nets,New York Knicks,21900019,113,0.0,0.475,0.441,0.5770000000000001,41.0,16.2,13.7,6.8,7.7,-0.9,107.7,106.7,0.56,109,0.0,0.46799999999999997,0.33299999999999996,0.722,35.5,21.8,12.7,14.5,0.9,-8.2,100.9,110.1,0.545,1,2019-10-25,2019-20
Boston Celtics,Toronto Raptors,21900017,112,0.0,0.36700000000000005,0.26899999999999996,0.588,39.8,17.5,10.7,3.9,1.9,-13.6,90.3,103.9,0.44299999999999995,106,1.0,0.408,0.35,0.8420000000000001,49.6,20.0,14.8,6.1,2.6,7.0,113.0,108.9,0.5429999999999999,1,2019-10-25,2019-20
Sacramento Kings,Portland Trail Blazers,21900024,112,0.0,0.391,0.345,0.654,43.5,15.7,25.0,4.6,4.6,-26.9,88.0,112.7,0.483,122,0.0,0.414,0.25,0.9129999999999999,47.1,12.7,19.6,8.8,3.9,-7.8,98.0,104.9,0.515,0,2019-10-25,2019-20
Denver Nuggets,Phoenix Suns,21900023,108,1.0,0.42,0.563,0.815,43.7,23.3,19.4,10.7,3.9,7.8,104.9,98.0,0.581,107,1.0,0.5,0.33299999999999996,0.833,40.0,28.2,12.7,11.8,8.2,26.4,112.7,88.0,0.585,1,2019-10-25,2019-20
Charlotte Hornets,Minnesota Timberwolves,21900018,99,1.0,0.511,0.523,0.813,39.0,26.7,18.1,2.9,3.8,1.0,120.0,120.2,0.6629999999999999,121,1.0,0.426,0.302,0.7859999999999999,43.7,19.3,10.9,7.6,3.4,0.8,106.7,107.7,0.528,0,2019-10-25,2019-20
Oklahoma City Thunder,Washington Wizards,21900022,85,0.0,0.386,0.37,0.677,47.5,14.9,15.8,5.0,4.0,-5.0,94.1,99.0,0.49200000000000005,97,0.0,0.39799999999999996,0.268,0.833,45.2,25.0,16.3,5.8,2.9,-7.7,96.2,103.8,0.495,0,2019-10-25,2019-20
Memphis Grizzlies,Chicago Bulls,21900020,102,0.0,0.42700000000000005,0.156,0.667,35.1,19.3,21.1,7.9,6.1,-16.7,88.6,105.3,0.494,110,0.0,0.467,0.3,0.818,47.1,24.0,11.5,10.6,3.8,-1.0,120.2,120.0,0.545,0,2019-10-25,2019-20
New Orleans Pelicans,Dallas Mavericks,21900021,116,0.0,0.42200000000000004,0.42200000000000004,0.85,47.3,26.8,17.0,3.6,8.0,-7.1,108.9,113.0,0.551,123,1.0,0.461,0.306,0.818,44.2,16.3,19.2,5.8,4.8,7.7,103.8,96.2,0.597,0,2019-10-25,2019-20
San Antonio Spurs,Washington Wizards,21900033,124,1.0,0.506,0.33299999999999996,0.8059999999999999,46.8,20.2,19.3,5.5,4.6,8.3,110.1,100.9,0.607,122,0.5,0.4,0.268,0.821,45.0,22.5,15.3,7.2,4.3,1.9,94.3,93.2,0.48700000000000004,1,2019-10-26,2019-20
Chicago Bulls,Toronto Raptors,21900031,84,0.5,0.449,0.292,0.7829999999999999,44.8,20.5,12.4,11.9,5.2,3.3,111.9,108.1,0.5379999999999999,108,0.5,0.436,0.42100000000000004,0.836,47.0,20.5,18.3,4.1,4.1,0.9,107.8,107.8,0.575,0,2019-10-26,2019-20
New York Knicks,Boston Celtics,21900029,95,0.0,0.469,0.491,0.63,35.6,18.7,18.3,13.7,2.3,-5.9,100.5,106.9,0.563,118,0.5,0.377,0.313,0.7,46.6,18.8,10.1,6.7,4.8,-3.8,98.6,102.9,0.46399999999999997,0,2019-10-26,2019-20
Phoenix Suns,LA Clippers,21900035,130,0.5,0.451,0.311,0.92,45.4,25.9,14.8,8.3,4.6,13.0,106.9,94.0,0.561,122,1.0,0.5710000000000001,0.46,0.741,41.4,28.1,16.7,7.4,4.9,14.3,124.6,109.3,0.685,1,2019-10-26,2019-20
Cleveland Cavaliers,Indiana Pacers,21900030,110,0.0,0.375,0.265,0.667,54.0,20.0,16.0,8.0,2.0,-9.0,85.0,94.0,0.449,99,0.0,0.461,0.381,0.833,35.0,25.2,14.6,7.8,5.8,-8.7,106.8,115.5,0.552,1,2019-10-26,2019-20
Houston Rockets,New Orleans Pelicans,21900032,126,0.0,0.36700000000000005,0.33299999999999996,0.7440000000000001,52.3,22.9,12.8,5.5,5.5,-5.5,101.8,107.3,0.518,123,0.0,0.44,0.395,0.8,46.8,27.8,15.3,4.6,5.6,-6.9,110.2,115.5,0.552,1,2019-10-26,2019-20
Detroit Pistons,Philadelphia 76ers,21900027,111,0.5,0.466,0.344,0.836,42.2,23.1,16.1,5.5,5.5,-4.0,110.1,112.9,0.585,117,1.0,0.435,0.24100000000000002,0.722,60.2,23.3,16.5,5.8,6.8,13.6,103.9,90.3,0.531,0,2019-10-26,2019-20
Utah Jazz,Sacramento Kings,21900034,113,0.5,0.431,0.28600000000000003,0.8290000000000001,45.4,17.3,17.3,6.1,3.6,-2.0,94.9,96.4,0.522,81,0.0,0.408,0.379,0.755,42.1,15.9,20.6,7.0,3.3,-18.2,96.7,115.0,0.525,1,2019-10-26,2019-20
Milwaukee Bucks,Miami Heat,21900026,126,1.0,0.465,0.348,0.5,48.6,28.4,10.1,6.4,9.2,5.5,107.3,101.8,0.547,131,1.0,0.47100000000000003,0.389,0.846,44.7,15.8,18.4,7.9,7.0,16.7,105.3,88.6,0.5870000000000001,0,2019-10-26,2019-20
Atlanta Hawks,Orlando Magic,21900028,103,1.0,0.512,0.355,0.857,42.9,27.6,13.3,9.2,2.0,17.3,119.4,104.2,0.614,99,1.0,0.43,0.3,0.579,46.0,24.0,13.0,12.0,4.0,9.0,94.0,85.0,0.498,1,2019-10-26,2019-20
Los Angeles Lakers,Charlotte Hornets,21900040,120,0.5,0.415,0.35600000000000004,0.7559999999999999,43.0,20.2,15.0,9.3,8.3,-0.5,102.1,103.1,0.516,101,0.5,0.47700000000000004,0.479,0.619,39.3,25.6,18.5,4.3,4.3,-10.0,106.6,117.1,0.591,1,2019-10-27,2019-20
Dallas Mavericks,Portland Trail Blazers,21900038,119,1.0,0.473,0.32899999999999996,0.78,45.7,19.2,14.9,6.7,5.8,7.2,111.1,103.8,0.5920000000000001,121,0.5,0.47700000000000004,0.31,0.889,42.7,17.5,17.5,8.3,4.4,1.0,107.8,105.3,0.579,0,2019-10-27,2019-20
Minnesota Timberwolves,Miami Heat,21900039,116,1.0,0.447,0.309,0.763,46.2,23.6,13.3,8.9,4.4,10.2,110.2,100.9,0.551,109,1.0,0.462,0.371,0.747,44.5,21.6,16.5,6.8,4.7,10.2,106.4,95.8,0.573,1,2019-10-27,2019-20
Memphis Grizzlies,Brooklyn Nets,21900037,134,0.0,0.42100000000000004,0.24600000000000002,0.68,43.6,20.9,19.1,7.7,5.9,-12.3,92.3,104.5,0.495,133,0.5,0.475,0.43700000000000006,0.633,41.6,17.7,18.6,8.4,4.9,1.3,105.8,103.5,0.5820000000000001,1,2019-10-27,2019-20
Oklahoma City Thunder,Golden State Warriors,21900036,120,0.0,0.392,0.3,0.66,47.5,14.2,17.2,5.9,4.9,-8.3,88.2,95.6,0.475,92,0.0,0.39399999999999996,0.35700000000000004,0.9670000000000001,38.9,25.0,12.0,6.5,0.0,-17.6,113.0,133.0,0.544,1,2019-10-27,2019-20
San Antonio Spurs,Portland Trail Blazers,21900048,113,1.0,0.48200000000000004,0.34700000000000003,0.8109999999999999,49.8,24.4,14.4,5.7,5.7,5.3,116.7,111.5,0.569,110,0.667,0.49,0.33799999999999997,0.873,43.5,15.7,16.6,7.3,4.2,1.3,109.6,106.9,0.591,1,2019-10-28,2019-20
New York Knicks,Chicago Bulls,21900042,105,0.0,0.44,0.415,0.688,41.6,17.5,20.0,11.6,2.8,-11.3,98.4,109.7,0.539,98,0.33299999999999996,0.4,0.28,0.746,44.0,19.3,13.0,10.8,4.1,-5.4,100.9,106.0,0.489,1,2019-10-28,2019-20
Phoenix Suns,Utah Jazz,21900049,95,0.667,0.467,0.34600000000000003,0.8690000000000001,45.8,27.4,15.0,8.4,4.0,11.2,112.5,101.6,0.588,96,0.667,0.475,0.37200000000000005,0.774,44.9,21.1,18.7,6.1,2.7,9.5,101.7,91.9,0.5720000000000001,0,2019-10-28,2019-20
LA Clippers,Charlotte Hornets,21900051,111,0.667,0.532,0.42100000000000004,0.763,40.7,25.1,15.0,7.5,4.6,6.8,122.1,114.2,0.649,96,0.33299999999999996,0.445,0.41700000000000004,0.723,41.0,23.4,17.6,5.1,4.2,-12.8,104.5,117.3,0.5589999999999999,1,2019-10-28,2019-20
Houston Rockets,Oklahoma City Thunder,21900045,116,0.5,0.413,0.312,0.812,46.4,23.6,15.0,5.9,4.5,-1.4,107.7,109.1,0.5529999999999999,112,0.33299999999999996,0.447,0.366,0.693,47.9,17.3,19.2,6.5,4.9,3.6,97.7,93.5,0.542,1,2019-10-28,2019-20
Detroit Pistons,Indiana Pacers,21900041,96,0.33299999999999996,0.49,0.363,0.736,38.8,21.5,17.9,7.2,5.9,-4.6,107.5,110.6,0.591,94,0.0,0.455,0.36700000000000005,0.838,35.6,24.3,15.8,7.4,4.5,-9.9,103.5,113.4,0.5429999999999999,1,2019-10-28,2019-20
Milwaukee Bucks,Cleveland Cavaliers,21900046,129,0.5,0.451,0.33,0.679,43.1,22.8,12.5,6.5,6.0,0.4,104.7,104.8,0.562,112,0.5,0.435,0.308,0.659,49.2,21.6,17.6,8.5,4.5,1.0,98.0,97.0,0.52,1,2019-10-28,2019-20
Atlanta Hawks,Philadelphia 76ers,21900043,103,1.0,0.512,0.32799999999999996,0.722,47.0,24.5,15.5,7.0,5.5,10.5,110.0,101.0,0.5920000000000001,105,1.0,0.45899999999999996,0.317,0.6970000000000001,46.9,25.4,18.3,9.4,4.7,9.4,105.2,96.7,0.557,0,2019-10-28,2019-20
Sacramento Kings,Denver Nuggets,21900050,94,0.0,0.396,0.348,0.7709999999999999,38.8,16.0,19.9,6.4,3.2,-22.8,92.3,115.1,0.504,101,1.0,0.405,0.424,0.81,42.7,21.3,16.1,8.5,7.6,4.3,102.4,99.5,0.5379999999999999,0,2019-10-28,2019-20
Toronto Raptors,Orlando Magic,21900044,104,0.667,0.445,0.39799999999999996,0.863,49.8,22.2,19.7,5.5,6.5,8.0,105.8,98.5,0.583,95,0.5,0.389,0.23,0.778,45.8,19.4,11.4,10.0,5.5,2.5,96.0,93.1,0.47100000000000003,1,2019-10-28,2019-20
New Orleans Pelicans,Golden State Warriors,21900047,123,0.0,0.447,0.382,0.804,43.7,26.6,15.3,5.8,4.3,-5.5,110.4,114.8,0.56,134,0.0,0.361,0.267,0.9179999999999999,38.4,20.9,13.3,9.5,0.9,-22.3,101.4,124.9,0.491,0,2019-10-28,2019-20
Los Angeles Lakers,Memphis Grizzlies,21900054,120,0.667,0.455,0.35600000000000004,0.763,44.1,23.4,14.6,8.5,8.1,6.1,107.5,102.0,0.547,91,0.33299999999999996,0.444,0.309,0.72,43.0,23.4,16.0,7.7,6.8,-7.7,100.0,107.7,0.528,1,2019-10-29,2019-20
Miami Heat,Atlanta Hawks,21900052,112,0.667,0.47200000000000003,0.38799999999999996,0.733,42.9,22.4,18.2,6.8,5.9,5.0,105.9,100.9,0.58,97,0.667,0.484,0.33,0.706,45.4,23.5,17.0,8.5,4.6,6.2,105.6,100.3,0.569,1,2019-10-29,2019-20
Denver Nuggets,Dallas Mavericks,21900053,106,1.0,0.391,0.368,0.833,47.4,21.1,15.1,8.6,6.9,5.3,104.3,100.3,0.515,109,0.667,0.445,0.302,0.78,44.6,21.2,13.6,6.6,4.7,4.1,110.8,107.0,0.57,0,2019-10-29,2019-20
Philadelphia 76ers,Minnesota Timberwolves,21900057,117,1.0,0.446,0.298,0.725,46.7,23.8,19.1,10.0,6.6,6.9,103.1,96.8,0.5479999999999999,95,1.0,0.441,0.302,0.7609999999999999,45.7,23.5,14.0,9.8,3.4,9.1,111.0,102.1,0.551,1,2019-10-30,2019-20
Golden State Warriors,Phoenix Suns,21900065,110,0.33299999999999996,0.40700000000000003,0.309,0.871,44.2,25.2,14.3,8.7,1.2,-11.2,108.4,120.4,0.523,121,0.5,0.45399999999999996,0.355,0.8320000000000001,44.1,26.2,15.1,8.0,3.8,8.3,107.5,99.5,0.574,0,2019-10-30,2019-20
Brooklyn Nets,Indiana Pacers,21900059,108,0.33299999999999996,0.461,0.397,0.701,42.9,19.8,17.2,7.3,4.7,0.6,108.5,107.2,0.5760000000000001,118,0.0,0.441,0.34299999999999997,0.82,39.3,24.5,13.4,8.7,4.4,-7.4,101.7,109.1,0.519,0,2019-10-30,2019-20
Boston Celtics,Milwaukee Bucks,21900058,116,0.667,0.401,0.33299999999999996,0.684,46.1,20.3,11.0,9.0,6.1,4.8,104.2,100.0,0.494,105,0.667,0.474,0.36200000000000004,0.675,44.5,24.3,12.2,7.1,6.2,5.3,110.4,105.0,0.583,1,2019-10-30,2019-20
Orlando Magic,New York Knicks,21900056,95,0.33299999999999996,0.387,0.26,0.794,45.6,20.0,12.8,9.5,5.6,-1.3,94.4,95.1,0.47700000000000004,83,0.25,0.434,0.387,0.67,47.2,18.1,19.5,9.6,3.6,-7.0,101.2,108.2,0.529,1,2019-10-30,2019-20
Cleveland Cavaliers,Chicago Bulls,21900055,117,0.33299999999999996,0.44,0.308,0.696,47.9,20.3,15.4,6.2,3.9,-4.9,100.7,105.9,0.525,111,0.25,0.405,0.275,0.7609999999999999,43.1,19.5,12.4,9.7,4.4,-5.8,101.5,107.0,0.496,1,2019-10-30,2019-20
Utah Jazz,LA Clippers,21900063,110,0.75,0.45299999999999996,0.359,0.7929999999999999,45.6,20.4,19.6,6.5,3.3,7.3,99.5,92.0,0.565,96,0.75,0.52,0.406,0.789,41.4,24.5,16.7,8.3,5.4,8.8,119.1,109.5,0.638,1,2019-10-30,2019-20
Sacramento Kings,Charlotte Hornets,21900064,111,0.0,0.396,0.341,0.7440000000000001,41.8,18.6,18.6,6.4,4.5,-19.3,94.6,113.6,0.498,118,0.25,0.442,0.401,0.722,40.2,23.5,18.6,5.1,3.9,-13.3,102.2,115.5,0.5539999999999999,0,2019-10-30,2019-20
